ax,ay,az,gx,gy,gz,label
-0.38,0.01,-0.26,-4,-1,1,idle
1.03,-0.01,-0.05,-4,-2,0,idle
1.02,-0.01,-0.04,-5,-4,3,idle
1.01,-0.01,-0.04,-5,-6,6,idle
1.02,0.01,-0.04,-7,-13,22,idle
0.9700001,-0.02,-0.05,-5,-4,-1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.03,-0.03,-0.06,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.03,-0.02,-0.06,-5,-3,1,idle
1.03,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.03,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.03,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.03,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.03,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.03,-0.02,-0.05,-5,-3,1,idle
1.02,-0.03,-0.05,-5,-3,1,idle
1.03,-0.03,-0.07,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.02,-0.03,-0.06,-5,-3,1,idle
1.02,-0.02,-0.05,-5,-3,1,idle
1.03,-0.03,-0.05,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.03,-0.02,-0.05,-5,-3,1,idle
1.02,-0.02,-0.06,-5,-3,1,idle
1.03,-0.02,-0.06,-5,-3,1,idle
1.06,0.01,0.07,-9,-2,3,fall
1.08,-0.09,0.05,-7,16,16,fall
1.02,-0.1,0.04,-14,-12,18,fall
0.98,-0.09,0.06,-4,-12,6,fall
0.99,-0.05,0.09,-5,-12,-5,fall
0.98,-0.11,-0.01,2,-9,-3,fall
0.94,0.03,0.11,-4,-18,-26,fall
1.05,-0.04,0.06,1,-4,3,fall
