ax,ay,az,gx,gy,gz,label
0.06,0.18,-0.29,-3,-8,-3,fast
1.33,1.18,0.11,-23,-15,-5,fast
1.52,0.01,-0.21,1,3,11,fast
1.05,-0.61,0.01,4,6,14,fast
1.78,0.27,-0.01,13,9,11,fast
0.23,-0.45,-0.41,6,-8,1,fast
1.0,-0.67,-0.13,-5,-19,8,fast
0.43,-1.02,-0.02,-20,-13,-2,fast
2.0,0.13,-0.29,-18,-5,19,fast
0.46,-0.63,-0.36,-12,10,-3,fast
1.74,-0.76,0.46,6,-6,-11,fast
0.27,-0.62,0.18,-1,-1,2,fast
0.93,-0.4,-0.08,-4,-8,1,fast
0.83,-0.73,0.21,-5,-12,0,fast
0.65,-0.66,0.15,-20,6,1,fast
0.21,-0.26,-0.28,-7,-9,-8,fast
0.06,-0.99,0.0,-11,-15,-5,fast
-0.02,-0.94,0.18,-14,-11,-11,fast
-0.23,-0.07,-0.49,-8,-10,-12,fast
0.54,-0.24,-0.28,-8,12,-9,fast

1.21,-0.15,0.02,-1,-7,10,slow
1.04,0.04,-0.06,-12,-9,-2,slow
1.63,-0.3,0.21,3,-5,12,slow
1.18,0.06,0.2,-1,-6,7,slow
0.77,-0.17,0.11,-8,-7,4,slow
1.76,-0.14,0.22,-6,-3,2,slow
1.03,-0.14,0.07,-2,-8,5,slow
0.95,-0.22,-0.05,-4,-6,-4,slow
0.94,-0.21,0.1,-15,-8,1,slow
0.99,-0.16,-0.1,-26,-3,-3,slow
1.29,-0.35,0.03,-34,-4,4,slow
0.68,-0.4,-0.08,-20,-1,-4,slow
0.9599999,-0.18,-0.05,-7,3,-3,slow
1.34,0.02,-0.0,3,4,3,slow
0.81,-0.29,-0.16,13,1,13,slow
0.9,-0.25,-0.08,26,5,4,slow
0.98,-0.34,0.11,5,3,7,slow
0.98,-0.04,0.1,-16,-6,0,slow
0.95,-0.25,-0.03,-6,0,-2,slow
0.85,-0.33,-0.12,16,-2,3,slow
0.91,-0.32,-0.05,16,-1,7,slow
1.1,-0.26,0.22,-7,-3,-4,slow
1.33,-0.16,0.03,-24,-7,0,slow
0.87,-0.2,0.01,-5,-1,0,slow
0.94,-0.31,-0.1,0,-4,3,slow
1.04,0.08,-0.01,-3,-3,3,slow
1.07,-0.04,0.17,-23,-11,-3,slow
0.9,-0.21,0.05,-8,-9,1,slow
1.31,-0.12,-0.11,1,1,0,slow
0.82,-0.25,0.03,-2,-2,7,slow
1.07,-0.37,0.05,-21,-6,6,slow
1.12,-0.05,0.06,-9,-2,-2,slow
0.7,-0.19,-0.03,-13,-5,-4,slow
0.77,-0.53,-0.05,-14,-4,-5,slow
1.19,-0.21,0.02,-16,-7,-1,slow
0.9700001,-0.22,-0.01,-18,-6,-4,slow
1.25,-0.18,0.14,-20,-6,0,slow
0.73,-0.4,-0.22,-16,-1,1,slow
0.87,-0.17,-0.02,-13,1,-7,slow
1.09,-0.39,-0.11,-5,3,0,slow
1.13,-0.45,0.05,15,4,5,slow
0.9599999,-0.07,-0.14,27,4,10,slow
0.98,-0.27,0.11,13,-3,2,slow
1.13,0.07,0.15,-15,-10,5,slow
1.08,-0.18,0.06,-23,-7,-6,slow
1.31,-0.18,0.06,-24,-8,0,slow
1.13,-0.19,-0.04,-7,0,0,slow
0.9599999,-0.02,-0.01,-10,-3,-2,slow
0.99,-0.43,-0.05,-9,-1,3,slow
0.83,-0.51,0.02,2,3,2,slow

1.01,-0.2,-0.2,-4,-3,1,fall
0.9599999,-0.2,-0.19,-4,-2,1,fall
1.0,-0.22,-0.18,-3,-3,1,fall
0.9700001,-0.29,-0.17,3,-6,1,fall
0.9599999,-0.36,-0.16,7,-7,3,fall
0.9599999,-0.47,-0.23,13,-7,4,fall
0.92,-0.44,-0.22,16,-10,5,fall
0.87,-0.42,-0.12,-13,-13,-1,fall
0.9,-0.32,-0.21,-26,-18,-3,fall
1.17,-0.21,-0.32,-5,-16,-1,fall
0.95,-0.33,-0.39,8,-15,5,fall
1.29,-0.33,-0.41,6,-14,4,fall
1.05,-0.2,-0.29,2,-11,6,fall
0.48,-0.25,-0.1,2,-17,-1,fall
0.8,-0.43,-0.17,-1,-24,5,fall
1.52,0.26,-0.57,-23,-30,3,fall
0.99,-0.2,-0.2,-24,-34,-7,fall
0.78,-0.16,-0.37,-21,-39,1,fall
0.68,-0.11,-0.32,-29,-41,-14,fall
0.82,-0.19,-0.52,-1,-44,-3,fall
0.71,0.11,-0.57,9,-49,4,fall
1.08,0.17,-0.91,-62,-47,-9,fall
0.86,0.08,-0.53,-30,-48,4,fall
0.61,0.21,-0.82,-45,-50,-6,fall
0.6,0.02,-0.83,-90,-43,-13,fall
0.48,0.14,-1.3,-13,-24,9,fall
0.55,0.05,-1.14,33,-16,8,fall
0.6,0.15,-0.93,-9,-30,3,fall
0.59,0.16,-1.15,-1,-24,2,fall
0.49,0.09,-1.2,-9,-21,-1,fall
0.61,0.1,-1.14,-8,-13,0,fall
0.51,0.01,-1.09,-15,-9,-3,fall
0.53,0.05,-0.9700001,-17,-7,-3,fall
0.52,0.06,-1.07,-17,-6,-2,fall
0.54,0.09,-0.9700001,-9,-7,-1,fall
0.5,0.07,-1.0,-13,-9,-1,fall
0.47,0.11,-0.9700001,-21,-10,-3,fall
0.49,0.15,-1.05,-16,-8,-1,fall
0.47,0.15,-1.0,-8,-6,0,fall
0.44,0.14,-1.01,-11,-8,-1,fall
0.45,0.17,-0.98,-22,-12,-3,fall
0.43,0.17,-1.07,-21,-11,-1,fall
0.46,0.2,-1.03,-9,-6,1,fall
